Id,Title,Original Title,Original Language,Overview,Popularity,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Adult,Genres,Production Companies,Production Countries,Spoken Languages,Status
291008,Legend is Alive,Huyền Thoại Bất Tử,vi,An impoverished mentally disabled boy in Vietnam learns to deal with the loss of both of his parents.,0.703,0,0,90,9/18/2009,7,2,FALSE,['Drama'],['Phuoc Sang Entertainment'],['Vietnam'],['Tiếng Việt'],Released
44024,Beauty in Each Centimeter,Đẹp Từng Centimet,vi,"An aspiring photographer tries to convince a girl to pose for his ""art photos"" by pretending to be a director. Ngo Dong (by Ha) dreams of becoming a famous actress. Quang Hy (by Hai) wants to take nude “artistic’ photos. They meet and Quang Hy lies that he’s a director to get Ngo Dong to participate in taking photos. Their relationship begins.",0.6,0,0,109,1/15/2009,7.5,3,FALSE,"['Comedy', 'Romance']",[],['Vietnam'],['Tiếng Việt'],Released
18327,Giải cứu thần chết,Giải cứu thần chết,en,,0.6,0,0,0,1/1/1900,0,0,FALSE,[],[],[],['Tiếng Việt'],Released
8681,Taken,Taken,en,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",87.205,226830568,25000000,94,2/18/2008,7.391,10753,FALSE,"['Action', 'Thriller']","['Wintergreen Productions', 'EuropaCorp', 'M6 Films', 'Grive Productions', 'TPS Star', 'M6', 'All Pictures Media', '20th Century Fox', 'Canal+', 'Seaside Film Taken']","['France', 'United States of America']","['English', 'Français', 'العربية', 'shqip']",Released
16614,Adventureland,Adventureland,en,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",21.476,17200000,9800000,107,4/3/2009,6.4,2075,FALSE,"['Comedy', 'Drama']","['Miramax', 'This Is That', 'Sidney Kimmel Entertainment']",['United States of America'],['English'],Released
44866,Park Benches,Bancs publics (Versailles rive droite),fr,"As she does every morning, Lucie takes advantage of her journey to work to lose herself for a while in the pages of a good book. And as she does every morning, she joins her colleagues at the office with a smile. It's a working day just like any other. Then suddenly all activity in the office stops. All attention is turned towards the window of the opposite building opposite and abanner reading: Man Alone. Is it a hoax? A cry for help? Everyone has his own interpretation, and will try, by any means possible, to discover what lies behind this mysterious message.",6.504,0,0,110,7/8/2009,5.3,50,FALSE,"['Comedy', 'Drama', 'Romance']","['Why Not Productions', 'France 2 Cinéma', 'UGC Films']",['France'],['Français'],Released
11322,Public Enemies,Public Enemies,en,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",37.699,214104620,100000000,140,7/1/2009,6.679,4254,FALSE,"['Crime', 'History']","['Universal Pictures', 'Relativity Media', 'Forward Pass', 'Misher Films', 'Tribeca Productions', 'Appian Way', 'Blue Light']",['United States of America'],['English'],Released
14160,Up,Up,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",131.776,735099082,175000000,96,5/28/2009,7.957,19483,FALSE,"['Animation', 'Comedy', 'Family', 'Adventure']",['Pixar'],['United States of America'],['English'],Released
1072077,Face Off 6: The Ticket Of Destiny,Lật Mặt 6: Tấm Vé Định Mệnh,vi,"A group of longtime friends suddenly received a chance to change their lives when they found out that the group's ticket won a jackpot of 136.8 billion. Suddenly, An, the ticket holder, had an accident and did not survive. Faced with the dream winning money that should have been easily available, the group of friends embarked on a journey to find the lottery ticket. But that was only the beginning of countless unexpected events. Where will this quest to find and share the lucrative dream money really lead the group?",1.153,0,0,131,4/28/2023,7.2,4,FALSE,"['Action', 'Drama', 'Thriller']",['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Released
19908,Zombieland,Zombieland,en,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",35.549,102391540,23600000,88,10/7/2009,7.3,11811,FALSE,"['Comedy', 'Horror']","['Pariah', 'Columbia Pictures', 'Relativity Media']",['United States of America'],['English'],Released
64937,Passport to Love,Chuyện Tình Xa Xứ,vi,,1.196,173828,0,120,2/13/2009,5,5,FALSE,"['Drama', 'Comedy', 'Romance']",[],['Vietnam'],['Tiếng Việt'],Released
19913,(500) Days of Summer,(500) Days of Summer,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",56.515,60781545,7500000,95,7/17/2009,7.3,9664,FALSE,"['Comedy', 'Drama', 'Romance']","['Fox Searchlight Pictures', 'Watermark Pictures', 'Dune Entertainment III']",['United States of America'],"['English', 'Français', 'svenska']",Released
173380,Burning Kisses,Những Nụ Hôn Rực Rỡ,vi,"A group of staff and employees from a resort cheat a famous boy-band to perform for them in order to keep their business when one of the members stay in their resort. However, things turn out not they way they want. Therefore, these people have to do the show themselves and everybody has a chance to show their talents.",1.346,0,30000,98,1/15/2010,0,0,FALSE,['Music'],[],['Vietnam'],['Tiếng Việt'],Released
172534,Công Chúa Teen Và Ngũ Hổ Tướng,Công Chúa Teen Và Ngũ Hổ Tướng,vi,,0.842,0,0,0,2/4/2010,0,0,FALSE,[],[],['Vietnam'],['Tiếng Việt'],Released
11324,Shutter Island,Shutter Island,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",94.396,294800000,80000000,138,2/14/2010,8.202,23108,FALSE,"['Drama', 'Thriller', 'Mystery']","['Paramount', 'Phoenix Pictures', 'Sikelia Productions', 'Appian Way']",['United States of America'],"['English', 'Deutsch']",Released
12155,Alice in Wonderland,Alice in Wonderland,en,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",83.115,1025467110,200000000,108,3/3/2010,6.632,13485,FALSE,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",['United States of America'],['English'],Released
22894,Legion,Legion,en,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",47.781,67900000,26000000,100,1/21/2010,5.8,2479,FALSE,"['Horror', 'Action', 'Fantasy']","['Screen Gems', 'Bold Films']",['United States of America'],['English'],Released
329851,Let Hoi Decide,Để Mai Tính 2,vi,A transgender Vietnamese businessman who becomes poor every time he falls in love with someone.,2.045,0,0,94,1/1/2014,3.5,2,FALSE,['Comedy'],"['CJ Entertainment', 'Chánh Phương Phim', 'Chanh Phuong Phim', 'Early Riser Media Group']","['South Korea', 'Vietnam']",['Tiếng Việt'],Released
1726,Iron Man,Iron Man,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",101.018,585174222,140000000,126,4/30/2008,7.642,25572,FALSE,"['Action', 'Science Fiction', 'Adventure']","['Marvel Studios', 'Marvel Entertainment', 'Fairview Entertainment']",['United States of America'],"['English', 'فارسی', 'اردو', 'العربية']",Released
1011477,Untitled Karate Kid Movie,Untitled Karate Kid Movie,en,,7.781,0,0,0,12/12/2024,0,0,FALSE,"['Action', 'Drama']",['Columbia Pictures'],['United States of America'],['English'],Planned
34544,The A-Team,The A-Team,en,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck help out various people they encounter.",39.353,177238796,110000000,117,6/9/2010,6.4,4439,FALSE,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']","['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']","['United Kingdom', 'United States of America']","['Deutsch', 'English', 'Español', 'Français', 'Kiswahili']",Released
37834,Knight and Day,Knight and Day,en,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",41.104,261989769,117000000,109,6/15/2010,6.2,4287,FALSE,"['Action', 'Comedy']","['Pink Machine', 'Tree Line Films', 'Dune Entertainment', 'Regency Enterprises', '20th Century Fox']",['United States of America'],"['English', 'Deutsch', 'Español']",Released
27205,Inception,Inception,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",149.015,825532764,160000000,148,7/15/2010,8.367,35454,FALSE,"['Action', 'Science Fiction', 'Adventure']","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']","['United Kingdom', 'United States of America']","['English', 'Français', '日本語', 'Kiswahili']",Released
27576,Salt,Salt,en,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",29.486,293329073,110000000,100,7/21/2010,6.4,5259,FALSE,"['Action', 'Mystery', 'Thriller']","['Wintergreen Productions', 'Columbia Pictures', 'Relativity Media', 'di Bonaventura Pictures']",['United States of America'],"['English', 'Pусский', '한국어/조선말']",Released
299054,Expend4bles,Expend4bles,en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",176.936,58000000,100000000,103,9/15/2023,6.364,1236,FALSE,"['Action', 'Adventure', 'Thriller']","['Millennium Media', 'Campbell Grobman Films', 'Lionsgate', 'Nu Boyana Film Studios', 'Templeton Media', 'Thunder Road', 'Davis Films']","['Bulgaria', 'France', 'United States of America']",['English'],Released
425724,Inferno,Giao lộ định mệnh,en,"Inferno follows the story of a man who nearly burns to death and loses his memory in a horrible car accident. As he pieces together his shattered life, he discovers the shocking truth behind his past as well as his own identity.",0.623,0,0,100,9/17/2010,6,1,FALSE,"['Drama', 'Thriller']",[],['Vietnam'],['Tiếng Việt'],Released
33909,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,en,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",33.094,134748021,70000000,133,9/20/2010,6.1,1447,FALSE,"['Drama', 'Crime']","['Pressman Film', 'Dune Entertainment III', 'Dune Entertainment', '20th Century Fox']",['United States of America'],['English'],Released
60084,Floating Lives,Cánh Đồng Bất Tận,vi,"Set in the Mekong Delta of Vietnam, the film tells a story of Mr. Vo and his children. Vo, enraged by his wife’s infidelity, burns down his house and all his memories of the past.",1.263,0,0,105,12/3/2010,6.7,11,FALSE,['Drama'],"['Vietnam Media Corp & Vietnam Studio', 'BHD']",['Vietnam'],['Tiếng Việt'],Released
8848,The Bank Job,The Bank Job,en,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.",31.832,64828421,20000000,111,2/28/2008,6.834,2172,FALSE,"['Thriller', 'Crime', 'Drama']","['Omnilab Media', 'Mosaic Media Group', 'Relativity Media', 'Skyline (Baker St)', 'Atlas Entertainment', 'Lionsgate', 'Arclight Films']","['Australia', 'United Kingdom', 'United States of America']",['English'],Released
38055,Megamind,Megamind,en,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",99.147,321885765,130000000,96,10/28/2010,6.976,6551,FALSE,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']","['DreamWorks Animation', 'Pacific Data Images', 'Red Hour', 'Paramount']",['United States of America'],['English'],Released
37710,The Tourist,The Tourist,en,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",29.877,278731369,100000000,103,12/8/2010,6.183,5236,FALSE,"['Action', 'Thriller', 'Romance']","['Columbia Pictures', 'Spyglass Entertainment', 'Peninsula Films', 'StudioCanal', 'GK Films', 'Cineroma SRL', 'Mandate International']","['France', 'Italy', 'United Kingdom', 'United States of America']","['English', 'Français', 'Italiano', 'Pусский', 'Español']",Released
38745,Gulliver's Travels,Gulliver's Travels,en,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",25.702,237382724,112000000,85,12/23/2010,5.2,2292,FALSE,"['Family', 'Comedy', 'Adventure', 'Fantasy']","['Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III', '20th Century Fox']",['United States of America'],['English'],Released
40805,The Green Hornet,The Green Hornet,en,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",26.847,227817248,120000000,119,1/12/2011,5.6,3086,FALSE,"['Action', 'Crime', 'Comedy']","['Original Film', 'Reliance Big Entertainment', 'Sony Pictures', 'Columbia Pictures']",['United States of America'],"['English', '普通话']",Released
405880,Ghost at School,Bóng Ma Học Đường,vi,"Writer Nam Linh specializes in writing violent stories for teenagers to read, but he does not know anything about teenagers and does not understand his son Minh Quan. Later, because of being despised by everyone, Nam Linh committed suicide. After becoming a ghost, he met the old ghost boss along with three other teenage ghosts, Thanh Mai, Nana Ly and Ngo Vinh.",1.093,0,0,83,1/26/2011,0,0,FALSE,"['Horror', 'Comedy']",[],['Vietnam'],['Tiếng Việt'],Released
380265,Battle Of The Brides 2,Cô Dâu Đại Chiến 2,vi,,1.171,0,0,100,1/16/2014,3,1,FALSE,['Comedy'],"['Galaxy Studios', 'Saiga Films']",[],['Tiếng Việt'],Released
38757,Tangled,Tangled,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",127.619,592461732,260000000,100,11/24/2010,7.605,10953,FALSE,"['Animation', 'Family']","['Walt Disney Animation Studios', 'Walt Disney Pictures']",['United States of America'],['English'],Released
16710,Meet the Browns,Meet the Browns,en,"A single mother living in inner city Chicago, Brenda has been struggling for years to make ends meet and keep her three kids off the street. When she's laid off with no warning, she starts losing hope for the first time - until a letter arrives announcing the death of a father she's never met. Desperate for any kind of help, Brenda takes her family to Georgia for the funeral, but nothing could have prepared her for the Browns, her father's fun-loving, crass Southern clan. In a small-town world full of long afternoons and country fairs, Brenda struggles to get to know the family she never knew existed...and finds a brand new romance that just might change her life.",8.098,41975388,20000000,100,3/21/2008,6.7,96,FALSE,"['Comedy', 'Drama', 'Romance']",['Tyler Perry Studios'],['United States of America'],['English'],Released
41630,No Strings Attached,No Strings Attached,en,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",40.945,149200000,25000000,107,1/21/2011,6.296,4530,FALSE,"['Comedy', 'Romance']","['Katalyst Films', 'The Montecito Picture Company', 'Handsomecharlie Films']",['United States of America'],['English'],Released
10802,Showgirls,Showgirls,en,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way.",39.788,20350754,45000000,131,9/22/1995,5.539,1160,FALSE,['Drama'],"['Pathé', 'Chargeurs', 'Charles Evans Productions', 'Carolco Pictures', 'Vegas Productions']","['France', 'United States of America']",['English'],Released
55292,Shaolin,新少林寺,zh,"China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.",15.545,33662874,29000000,131,1/20/2011,6.9,340,FALSE,"['Action', 'Drama']","['China Film Group Corporation', 'JCE Movies', 'Huayi Brothers Pictures', 'Emperor Motion Pictures']","['China', 'Hong Kong']",['普通话'],Released
910571,Fair Play,Fair Play,en,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel not only their recent engagement but their lives.",31.651,0,0,113,9/28/2023,6.446,408,FALSE,"['Drama', 'Thriller', 'Romance']","['Star Thrower Entertainment', 'T-Street', 'MRC']",['United States of America'],['English'],Released
46529,I Am Number Four,I Am Number Four,en,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",47.671,149900000,50000000,109,2/18/2011,6.2,4499,FALSE,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['Touchstone Pictures', 'Bay Films', 'DreamWorks Pictures', 'Reliance Entertainment']","['India', 'United States of America']","['Français', 'English']",Released
50546,Just Go with It,Just Go with It,en,"While romancing Palmer, a much younger schoolteacher, plastic surgeon Danny Maccabee enlists his loyal assistant Katherine to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, Katherine's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",54.674,214945591,80000000,117,2/10/2011,6.7,5467,FALSE,"['Comedy', 'Romance']","['Columbia Pictures', 'Happy Madison Productions']",['United States of America'],['English'],Released
46528,The Warrior's Way,The Warrior's Way,en,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,19.057,11100000,42000000,100,12/1/2010,6.5,595,FALSE,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']","['SCS Entertainment', 'Sidus', 'Relativity Media', 'Rogue Pictures', 'Sad Flutes', 'Fuse Media', 'Wellmade Entertainment', 'Kathy Morgan International']","['India', 'New Zealand', 'South Korea', 'United States of America']",['English'],Released
38050,The Adjustment Bureau,The Adjustment Bureau,en,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",29.119,127900000,50200000,106,3/3/2011,6.7,4332,FALSE,"['Science Fiction', 'Thriller', 'Romance']","['Universal Pictures', 'MRC', 'Gambit Pictures']",['United States of America'],['English'],Released
55208,Clash,Bẫy Rồng,vi,"Trinh, a mercenary, must complete a series of organized crime jobs for her boss in order to win the release of her kidnapped daughter. She hires several mercenaries to help, including Quan, who she becomes attracted to. Trinh and Quan's relationship becomes complicated as it becomes evident that their motivations are not the same.",3.391,0,0,90,12/9/2009,5,28,FALSE,"['Action', 'Thriller', 'Romance']",['Chanh Phuong Phim'],['Vietnam'],['Tiếng Việt'],Released
52255,"Bi, Don't Be Afraid","Bi, đừng sợ!",vi,"In an old house in Hanoi, Bi, a 6-year-old child lives with his parents, his aunt and their cook. His favorite playgrounds are an ice factory and the wild grass along the river. After being absent for years, his grandfather, seriously ill, reappears and settles at their house. While Bi gets closer to his grandfather, his father tries to avoid any contact with his family. Every night, he gets drunk and goes and see his masseuse, for whom he feels a quiet strong desire. Bi's mother turns a blind eye on it. The aunt, still single, meets a 16-year-old young boy in the bus. Her attraction to him moves her deeply.",1.887,0,0,90,3/18/2011,5.8,7,FALSE,['Drama'],[],['Vietnam'],['Tiếng Việt'],Released
44115,127 Hours,127 Hours,en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,30.319,35700000,18000000,94,11/12/2010,7.1,7217,FALSE,"['Adventure', 'Drama', 'Thriller']","['Fox Searchlight Pictures', 'Pathé', 'Everest Entertainment', 'Cloud Eight Films', 'Decibel Films', 'DSP', 'Film4 Productions', 'Dune Entertainment', 'Big Screen Productions']","['France', 'United Kingdom', 'United States of America']",['English'],Released
