id,title,release_date,vote_average,vote_count,popularity,original_language,budget,revenue,runtime,status
259872,Skin. Like. Sun.,10/10/2009,6.1,111,44.992,fr,0,0,60,Released
19995,Avatar,12/15/2009,7.593,32629,27.0592,en,237000000,2923706026,162,Released
14836,Coraline,2/5/2009,7.899,8547,20.243,en,60000000,185860104,100,Released
16869,Inglourious Basterds,8/2/2009,8.215,23231,17.5855,en,70000000,321457747,153,Released
767,Harry Potter and the Half-Blood Prince,7/15/2009,7.682,20139,18.5378,en,250000000,933959197,153,Released
18785,The Hangover,6/2/2009,7.327,17500,17.8134,en,35000000,469310836,100,Released
14160,Up,5/28/2009,7.959,20971,15.0514,en,175000000,735103954,96,Released
49266,Sand Serpents,7/11/2009,4,31,17.5495,en,1800000,0,90,Released
8355,Ice Age: Dawn of the Dinosaurs,6/26/2009,6.762,8606,14.3159,en,90000000,886686817,94,Released
18239,The Twilight Saga: New Moon,11/18/2009,5.994,9466,13.7688,en,50000000,709827462,131,Released
22881,The Blind Side,11/20/2009,7.674,6594,13.662,en,29000000,309231694,129,Released
17654,District 9,8/5/2009,7.454,9907,13.0104,en,30000000,210888950,112,Released
14161,2012,10/10/2009,5.862,12314,10.5013,en,200000000,791217826,158,Released
18240,The Proposal,6/2/2009,7.154,7164,8.8419,en,40000000,317400000,108,Released
10198,The Princess and the Frog,12/8/2009,7.2,5892,10.6449,en,105000000,270997378,98,Released
29963,Bright Star,9/18/2009,6.603,464,11.2869,en,10000000,14374652,119,Released
13448,Angels & Demons,4/20/2009,6.715,7056,9.2754,en,150000000,485930816,139,Released
166375,Taqwacore: The Birth of Punk Islam,11/3/2009,5.6,5,10.371,en,0,0,82,Released
13475,Star Trek,5/6/2009,7.425,10149,8.4356,en,150000000,386839614,127,Released
10315,Fantastic Mr. Fox,10/14/2009,7.813,5789,9.0648,en,40000000,46471023,87,Released
13183,Watchmen,3/4/2009,7.344,9582,8.5271,en,130000000,185258983,163,Released
19912,The Final Destination,8/26/2009,5.6,3695,8.9255,en,40000000,187384627,82,Released
10528,Sherlock Holmes,12/23/2009,7.215,14341,8.7353,en,90000000,524028679,129,Released
22794,Cloudy with a Chance of Meatballs,9/17/2009,6.644,6210,8.1096,en,100000000,242988466,90,Released
19959,Surrogates,9/24/2009,6.136,3282,7.7491,en,80000000,122444772,89,Released
57489,The Last Summer in La Boyita,11/5/2009,6.6,25,7.8948,es,0,0,88,Released
10184,He's Just Not That Into You,2/6/2009,6.614,3884,7.9077,en,40000000,178866158,129,Released
13811,Knowing,3/19/2009,6.23,5545,7.6038,en,50000000,155446362,121,Released
