id,title,release_date,vote_average,vote_count,popularity,original_language,budget,revenue,runtime,status
216015,Fifty Shades of Grey,2015-02-11,5.88,12117,22.2287,en,40000000,569651467,125,Released
99861,Avengers: Age of Ultron,2015-04-22,7.3,23738,15.8534,en,365000000,1405403694,141,Released
150540,Inside Out,2015-06-17,7.91,22815,15.8273,en,175000000,857611174,95,Released
214756,Ted 2,2015-06-25,6.3,7732,14.2653,en,68000000,215863606,115,Released
286217,The Martian,2015-09-30,7.7,20453,12.3069,en,108000000,631058917,141,Released
135397,Jurassic World,2015-06-06,6.699,21018,13.4334,en,150000000,1671537444,124,Released
76341,Mad Max: Fury Road,2015-05-13,7.6,23392,12.4715,en,150000000,378858340,121,Released
168259,Furious 7,2015-04-01,7.224,10958,11.3948,en,190000000,1515400000,139,Released
262500,Insurgent,2015-03-18,6.4,10202,10.0825,en,110000000,297002527,119,Released
140607,Star Wars: The Force Awakens,2015-12-15,7.256,19980,10.917,en,245000000,2068223624,136,Released
273481,Sicario,2015-09-17,7.416,9109,10.1825,en,30000000,84997446,122,Released
87101,Terminator Genisys,2015-06-23,5.944,8678,9.8193,en,155000000,440603537,126,Released
294254,Maze Runner: The Scorch Trials,2015-09-09,6.735,10707,9.7862,en,61000000,312296056,131,Released
281957,The Revenant,2015-12-25,7.5,18693,9.7098,en,135000000,532950503,157,Released
254128,San Andreas,2015-05-27,6.245,8780,9.575,en,110000000,473990832,114,Released
207703,Kingsman: The Secret Service,2015-01-24,7.623,17295,9.5308,en,81000000,414351546,129,Released
159824,Hotel Transylvania 2,2015-09-21,6.767,5941,9.333,en,80000000,473200000,89,Released
102899,Ant-Man,2015-07-14,7.068,20331,9.066,en,130000000,519311965,117,Released
166424,Fantastic Four,2015-08-05,4.433,6230,8.6939,en,120000000,167977596,100,Released
257344,Pixels,2015-07-16,5.8,7797,8.4982,en,88000000,244900000,106,Released
177677,Mission: Impossible - Rogue Nation,2015-07-28,7.218,9313,8.4599,en,150000000,682716636,131,Released
131634,The Hunger Games: Mockingjay - Part 2,2015-11-18,6.898,12945,8.0092,en,160000000,653428261,137,Released
276907,Legend,2015-09-09,7.055,4063,7.8852,en,25000000,42972994,132,Released
105864,The Good Dinosaur,2015-11-14,6.739,5793,7.7727,en,175000000,332207671,93,Released
257211,The Intern,2015-09-23,7.226,7025,7.7649,en,35000000,194564672,121,Released
274854,The Last Witch Hunter,2015-10-21,6.001,3717,7.5417,en,90000000,146936910,106,Released
206647,Spectre,2015-10-26,6.6,10845,7.4672,en,245000000,880707597,148,Released
201085,Crimson Peak,2015-10-13,6.659,5070,7.3926,en,55000000,74700000,119,Released
76757,Jupiter Ascending,2015-02-04,5.5,6903,7.2617,en,176000000,184000000,127,Released
263472,Knock Knock,2015-06-26,5.39,3341,6.553,en,10000000,6341684,99,Released
258509,Alvin and the Chipmunks: The Road Chip,2015-12-17,6.0,1710,6.2818,en,90000000,233755553,92,Released
249070,Hitman: Agent 47,2015-08-20,5.883,3156,6.2474,en,35000000,81967450,96,Released
205775,In the Heart of the Sea,2015-12-03,6.8,4219,6.0141,en,100000000,93900000,122,Released
228161,Home,2015-03-18,6.8,4099,5.3773,en,135000000,368871007,94,Released
203801,The Man from U.N.C.L.E.,2015-08-13,7.083,6571,5.3807,en,75000000,110045109,116,Released
266647,Pan,2015-09-24,5.956,2778,5.4621,en,150000000,128388320,111,Released
227973,The Peanuts Movie,2015-11-05,6.9,1728,4.9722,en,99000000,246233113,88,Released
257445,Goosebumps,2015-08-05,6.3,3866,5.3623,en,58000000,158261424,103,Released
316873,Case Closed: Sunflowers of Inferno,2015-04-18,6.09,128,4.227,ja,0,52920296,113,Released
296098,Bridge of Spies,2015-10-15,7.236,7036,6.3472,en,40000000,165478348,141,Released
274479,Joy,2015-12-24,6.552,4192,5.1071,en,60000000,101134059,124,Released
274109,Palm Trees in the Snow,2015-12-25,7.4,534,4.4713,es,11332619,0,164,Released
274167,Daddy's Home,2015-12-25,6.292,3303,4.0029,en,50000000,242786137,96,Released
253412,Everest,2015-09-10,6.825,5041,4.3661,en,55000000,203427584,121,Released
211672,Minions,2015-06-17,6.4,10838,4.0968,en,74000000,1159457503,91,Released
287948,The Transporter Refueled,2015-09-02,5.5,1531,4.6606,en,25000000,72629670,95,Released
259693,The Conjuring 2,2016-06-08,7.294,8845,35.3204,en,40000000,322819915,134,Released
209112,Batman v Superman: Dawn of Justice,2016-03-23,5.986,18519,17.9336,en,250000000,874362803,152,Released
372058,Your Name.,2016-08-26,8.48,12008,16.3581,ja,0,358000000,106,Released
269149,Zootopia,2016-02-11,7.751,16952,15.1122,en,150000000,1025521689,109,Released
296096,Me Before You,2016-06-01,7.927,12839,14.7383,en,20000000,207945075,110,Released
396535,Train to Busan,2016-07-20,7.752,7976,14.0199,ko,8500000,87547518,118,Released
293660,Deadpool,2016-02-09,7.6,31942,13.7985,en,58000000,782837347,108,Released
271110,Captain America: Civil War,2016-04-27,7.447,23423,12.2623,en,250000000,1155046416,147,Released
329865,Arrival,2016-11-10,7.62,18571,11.0324,en,47000000,203388186,116,Released
246655,X-Men: Apocalypse,2016-05-18,6.517,13361,10.2099,en,178000000,543934787,144,Released
278154,Ice Age: Collision Course,2016-06-23,6.1,4741,10.1664,en,105000000,408579038,95,Released
284052,Doctor Strange,2016-10-25,7.418,22811,9.7026,en,180000000,676343174,115,Released
378064,A Silent Voice: The Movie,2016-09-17,8.384,4229,9.4418,ja,0,30819442,129,Released
259316,Fantastic Beasts and Where to Find Them,2016-11-16,7.311,19252,9.3044,en,180000000,809342332,133,Released
140300,Kung Fu Panda 3,2016-01-23,6.916,6318,9.1151,en,145000000,521170825,95,Released
333484,The Magnificent Seven,2016-09-14,6.468,6143,9.1073,en,90000000,162400000,132,Released
241259,Alice Through the Looking Glass,2016-05-25,6.561,6600,9.1005,en,170000000,299457024,113,Released
300671,13 Hours: The Secret Soldiers of Benghazi,2016-01-14,7.272,3753,8.8584,en,50000000,69411370,144,Released
313369,La La Land,2016-12-01,7.899,17521,8.8267,en,30000000,509183536,129,Released
335797,Sing,2016-11-23,7.12,8212,8.7084,en,75000000,634151679,107,Released
333669,Bastille Day,2016-04-22,6.304,1440,8.5615,en,20000000,14397593,92,Released
302946,The Accountant,2016-10-13,7.128,6981,8.0223,en,44000000,155160045,128,Released
369780,"Josephine, Pregnant & Fabulous",2016-02-10,5.8,277,7.8082,fr,0,0,94,Released
343611,Jack Reacher: Never Go Back,2016-10-19,5.993,5091,7.512,en,60000000,162100000,118,Released
283366,Miss Peregrine's Home for Peculiar Children,2016-09-27,6.837,10245,7.4511,en,110000000,296482446,127,Released
267860,London Has Fallen,2016-03-02,6.218,4903,7.3914,en,60000000,205754447,99,Released
291805,Now You See Me 2,2016-06-02,6.826,11062,7.2418,en,120000000,334897606,129,Released
315011,Shin Godzilla,2016-07-29,7.219,1453,7.2004,ja,15000000,78053145,120,Released
205584,Gods of Egypt,2016-02-25,5.7,4191,6.8869,en,140000000,150680864,127,Released
330459,Rogue One: A Star Wars Story,2016-12-14,7.5,15878,6.8332,en,200000000,1056057273,133,Released
302699,Central Intelligence,2016-06-15,6.415,6139,6.5957,en,50000000,216972543,107,Released
308266,War Dogs,2016-08-18,6.927,5195,6.5742,en,50000000,86234523,114,Released
297761,Suicide Squad,2016-08-03,5.9,21616,6.5174,en,175000000,749200054,122,Released
262504,Allegiant,2016-03-09,6.105,6770,6.5159,en,110000000,179246868,120,Released
311324,The Great Wall,2016-12-16,6.03,5345,6.5006,en,150000000,331957105,103,Released
278924,Mechanic: Resurrection,2016-08-25,6.024,3493,6.461,en,40000000,125729635,99,Released
278927,The Jungle Book,2016-04-07,6.863,8275,6.4463,en,175000000,966550600,106,Released
47933,Independence Day: Resurgence,2016-06-22,5.349,6244,6.2508,en,165000000,389681935,120,Released
363676,Sully,2016-09-07,7.196,7452,6.2389,en,60000000,240800000,96,Released
262841,Monster Trucks,2016-12-21,6.1,876,6.225,en,125000000,64493915,104,Released
346672,Underworld: Blood Wars,2016-11-24,5.906,3799,6.1242,en,35000000,81093313,91,Released
153518,The Angry Birds Movie,2016-05-11,6.2,3806,6.0633,en,73000000,349779543,97,Released
324668,Jason Bourne,2016-07-27,6.365,5936,5.9557,en,120000000,415484914,123,Released
300673,The Finest Hours,2016-01-27,6.601,1670,5.0451,en,80000000,52099090,117,Released
121856,Assassin's Creed,2016-12-21,5.428,7913,4.6842,en,125000000,240700000,116,Released
188927,Star Trek Beyond,2016-07-07,6.782,6837,4.6933,en,185000000,343471816,122,Released
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,6.049,3653,5.025,en,135000000,245623848,112,Released
68735,Warcraft,2016-05-25,6.389,7024,6.4786,en,160000000,433677183,123,Released
136799,Trolls,2016-10-13,6.6,3705,5.0659,en,125000000,347337803,92,Released
127380,Finding Dory,2016-06-16,7.041,12368,5.0454,en,200000000,1029266989,97,Released
207932,Inferno,2016-10-13,6.1,6430,5.4522,en,75000000,220021259,121,Released
300669,Don't Breathe,2016-06-08,7.014,7707,5.5194,en,9900000,158906350,89,Released
345911,Lights Out,2016-07-21,6.364,3987,5.3166,en,4900000,149368835,81,Released
369885,Allied,2016-11-23,6.802,4636,4.7631,en,106000000,119520023,124,Released
296524,Deepwater Horizon,2016-09-28,6.887,4697,5.0032,en,110000000,121790376,107,Released
274870,Passengers,2016-12-21,6.953,13756,4.4567,en,110000000,303144152,116,Released
290250,The Nice Guys,2016-05-15,7.127,8262,5.3301,en,50000000,71261763,116,Released
389053,The Do-Over,2016-05-27,5.716,1547,5.1534,en,0,0,108,Released
258489,The Legend of Tarzan,2016-06-29,5.913,6341,4.7892,en,180000000,356743061,109,Released
342473,Ballerina,2016-12-14,7.189,1936,4.1965,en,30000000,109573511,89,Released
258230,A Monster Calls,2016-10-07,7.287,3449,4.7935,en,43000000,47309313,108,Released
313297,Kubo and the Two Strings,2016-08-18,7.633,3682,4.445,en,60000000,76249438,102,Released
43074,Ghostbusters,2016-07-14,5.3,6601,4.8297,en,144000000,229147509,117,Released
121856,Assassin's Creed,2016-12-21,5.4,7913,4.6842,en,125000000,240700000,116,Released
396262,Cinemawala,2016-05-13,7.5,4,4.1281,bn,0,0,105,Released
333371,10 Cloverfield Lane,2016-03-10,6.993,8290,4.0964,en,15000000,110216998,104,Released
356305,Why Him?,2016-12-22,6.384,4271,4.8374,en,38000000,118102725,111,Released
